split,seed,method,fit_rows,calibration_rows,test_rows,test_min_ds,test_max_ds,multiclass_log_loss,multiclass_brier,temperature,temperature_at_lower_boundary,temperature_at_upper_boundary,mean_confidence,rows,hit_within_1,exact_rate,mae,mse,rmse,prediction_unique,prediction_mode,prediction_mode_share,prediction_sha256,constant_hit,constant_mae,constant_mse,hit_advantage,mae_advantage,mse_advantage
0,17,multinomial_logistic,3839,500,500,2016-11-22 00:00:00,2018-10-29 00:00:00,2.303970864452017,0.9002749145321696,9.578246952137706,False,False,0.3059803005601982,500,0.28,0.108,3.284,16.344,4.042771326701524,8,8,0.226,69bc434d4557752f82bc1d2856294ba51839e274eaab44aaf0dda54a9ee068f8,0.28,3.956,22.872,0.0,0.6720000000000002,6.527999999999999
0,17,ordinal_logistic,3839,500,500,2016-11-22 00:00:00,2018-10-29 00:00:00,2.3040933432754165,0.9002978776560394,9.401497373559083,False,False,0.30631364509718534,500,0.286,0.108,3.23,15.93,3.9912404086950213,8,8,0.212,742615a3075597d3aea96724d6e5ee71a86053b71f2f05be1f896bca56404799,0.28,3.956,22.872,0.00599999999999995,0.726,6.942
0,17,dirichlet_w20_a5,3839,500,500,2016-11-22 00:00:00,2018-10-29 00:00:00,,,,,,0.34308571428571427,500,0.294,0.1,3.264,16.072,4.008989897717378,8,1,0.298,38f9f19713fc52149e03e5a70015071eb29eb51662687200b16d5869115390b1,0.28,3.956,22.872,0.013999999999999957,0.6920000000000002,6.800000000000001
0,17,train_only_constant,3839,500,500,2016-11-22 00:00:00,2018-10-29 00:00:00,,,,,,,500,0.28,0.094,3.956,22.872,4.782467982119692,1,8,1.0,8c531c9ac7d922290af191189b6b610612773a52dfe45f12f6efccdfa8ba5bd1,0.28,3.956,22.872,0.0,0.0,0.0
0,42,multinomial_logistic,3839,500,500,2016-11-22 00:00:00,2018-10-29 00:00:00,2.3023945183587777,0.8999634001699426,8.171068654316088,False,False,0.3075463232060001,500,0.296,0.094,3.244,15.716,3.9643410549547826,8,8,0.254,a294a48e631c20fcfd6894aba69ccaff2c9d965f40d3dd016d57b3cb8afb4cf6,0.28,3.956,22.872,0.01599999999999996,0.7119999999999997,7.156000000000001
0,42,ordinal_logistic,3839,500,500,2016-11-22 00:00:00,2018-10-29 00:00:00,2.3029485545579496,0.9000725383166936,7.148278976728151,False,False,0.30885757523228186,500,0.288,0.102,3.218,15.406,3.9250477704099347,8,8,0.23,d40c1defb39f08200d57807e596679f33bf3f072654876601344c86500a09739,0.28,3.956,22.872,0.007999999999999952,0.738,7.465999999999999
0,42,dirichlet_w20_a5,3839,500,500,2016-11-22 00:00:00,2018-10-29 00:00:00,,,,,,0.34308571428571427,500,0.294,0.1,3.264,16.072,4.008989897717378,8,1,0.298,38f9f19713fc52149e03e5a70015071eb29eb51662687200b16d5869115390b1,0.28,3.956,22.872,0.013999999999999957,0.6920000000000002,6.800000000000001
0,42,train_only_constant,3839,500,500,2016-11-22 00:00:00,2018-10-29 00:00:00,,,,,,,500,0.28,0.094,3.956,22.872,4.782467982119692,1,8,1.0,8c531c9ac7d922290af191189b6b610612773a52dfe45f12f6efccdfa8ba5bd1,0.28,3.956,22.872,0.0,0.0,0.0
0,137,multinomial_logistic,3839,500,500,2016-11-22 00:00:00,2018-10-29 00:00:00,2.3025116364003892,0.8999853709863139,99.99998120136743,False,True,0.3005931267142715,500,0.29,0.098,3.19,15.142,3.8912722855127986,8,8,0.288,6e3dbe11296a6687d2f30ced629b45fc60dc1085aeb7eeb0b6abd28b1d5bef60,0.28,3.956,22.872,0.009999999999999953,0.766,7.73
0,137,ordinal_logistic,3839,500,500,2016-11-22 00:00:00,2018-10-29 00:00:00,2.302461939303598,0.8999755031712139,99.99998467000981,False,True,0.3006089746046471,500,0.294,0.102,3.19,15.258,3.906148998694238,8,8,0.284,faa11685a477d1fccdc1ec02d53d7cacb631c781a4a5decfb7abb8491c5bb867,0.28,3.956,22.872,0.013999999999999957,0.766,7.614000000000001
0,137,dirichlet_w20_a5,3839,500,500,2016-11-22 00:00:00,2018-10-29 00:00:00,,,,,,0.34308571428571427,500,0.294,0.1,3.264,16.072,4.008989897717378,8,1,0.298,38f9f19713fc52149e03e5a70015071eb29eb51662687200b16d5869115390b1,0.28,3.956,22.872,0.013999999999999957,0.6920000000000002,6.800000000000001
0,137,train_only_constant,3839,500,500,2016-11-22 00:00:00,2018-10-29 00:00:00,,,,,,,500,0.28,0.094,3.956,22.872,4.782467982119692,1,8,1.0,8c531c9ac7d922290af191189b6b610612773a52dfe45f12f6efccdfa8ba5bd1,0.28,3.956,22.872,0.0,0.0,0.0
0,2026,multinomial_logistic,3839,500,500,2016-11-22 00:00:00,2018-10-29 00:00:00,2.30200189711433,0.8998811145012134,8.684938025017889,False,False,0.30675805208725465,500,0.312,0.108,3.25,16.09,4.011234224026316,8,8,0.296,4ca921de1839ac964e2f185a3d494c9dee24b66206adf654d60cb6c27aca06b5,0.28,3.956,22.872,0.03199999999999997,0.706,6.782
0,2026,ordinal_logistic,3839,500,500,2016-11-22 00:00:00,2018-10-29 00:00:00,2.3026706381569135,0.8999906732588663,8.558592670078603,False,False,0.3072407530308754,500,0.308,0.11,3.186,15.442,3.92963102593615,8,8,0.284,256e8f365b11a94f484721bc750a06ccc0e68805f738eb2e4c60d2abe54f9db3,0.28,3.956,22.872,0.02799999999999997,0.77,7.43
0,2026,dirichlet_w20_a5,3839,500,500,2016-11-22 00:00:00,2018-10-29 00:00:00,,,,,,0.34308571428571427,500,0.294,0.1,3.264,16.072,4.008989897717378,8,1,0.298,38f9f19713fc52149e03e5a70015071eb29eb51662687200b16d5869115390b1,0.28,3.956,22.872,0.013999999999999957,0.6920000000000002,6.800000000000001
0,2026,train_only_constant,3839,500,500,2016-11-22 00:00:00,2018-10-29 00:00:00,,,,,,,500,0.28,0.094,3.956,22.872,4.782467982119692,1,8,1.0,8c531c9ac7d922290af191189b6b610612773a52dfe45f12f6efccdfa8ba5bd1,0.28,3.956,22.872,0.0,0.0,0.0
